Restaurant,star_rating,no_reviews,cuisine,url
Iketeru Restaurant,5.0,"2,412","Japanese, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d796300-Reviews-Iketeru_Restaurant-Kuala_Lumpur_Wilayah_Persekutuan.html
Ishin Japanese Dining,4.5,"1,484","Japanese, Sushi",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4355273-Reviews-Ishin_Japanese_Dining-Kuala_Lumpur_Wilayah_Persekutuan.html
Chambers Grill,5.0,"1,001","Steakhouse, Grill",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d6556473-Reviews-Chambers_Grill-Kuala_Lumpur_Wilayah_Persekutuan.html
Canopy Rooftop Bar and Lounge,5.0,"2,279","Bar, International",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d11947368-Reviews-Canopy_Rooftop_Bar_and_Lounge-Kuala_Lumpur_Wilayah_Persekutuan.html
Kampachi Plaza33,5.0,779,"Japanese, Sushi",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d4915935-Reviews-Kampachi_Plaza33-Petaling_Jaya_Petaling_District_Selangor.html
Chynna,4.5,"1,092","Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1060218-Reviews-Chynna-Kuala_Lumpur_Wilayah_Persekutuan.html
Positano Risto,5.0,"1,411","Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15297795-Reviews-Positano_Risto-Kuala_Lumpur_Wilayah_Persekutuan.html
Serena Brasserie,4.5,767,"International, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d3721180-Reviews-Serena_Brasserie-Kuala_Lumpur_Wilayah_Persekutuan.html
Vasco's,5.0,"2,807","International, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4831795-Reviews-Vasco_s-Kuala_Lumpur_Wilayah_Persekutuan.html
Kampachi EQ,5.0,376,"Japanese, Sushi",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1092910-Reviews-Kampachi_EQ-Kuala_Lumpur_Wilayah_Persekutuan.html
Miyabi,5.0,427,"Japanese, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d13737561-Reviews-Miyabi-Petaling_Jaya_Petaling_District_Selangor.html
Boardwalk,4.5,165,"Bar, International",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1115437-Reviews-Boardwalk-Kuala_Lumpur_Wilayah_Persekutuan.html
Sala Bar,5.0,103,"Bar, Pub",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d19736096-Reviews-Sala_Bar-Petaling_Jaya_Petaling_District_Selangor.html
Prime,4.5,905,Steakhouse,https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1637408-Reviews-Prime-Kuala_Lumpur_Wilayah_Persekutuan.html
Yue,5.0,194,"Chinese, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298313-d15032863-Reviews-Yue-Petaling_Jaya_Petaling_District_Selangor.html
TTDI Meat Point Steakhouse,4.5,190,"Steakhouse, Grill",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d5894203-Reviews-TTDI_Meat_Point_Steakhouse-Kuala_Lumpur_Wilayah_Persekutuan.html
"Flock, W Kuala Lumpur",5.0,443,"International, Asian",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d15125499-Reviews-Flock_W_Kuala_Lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
"Graze Restaurant, Kuala lumpur",4.5,470,"Italian, Contemporary",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d4604638-Reviews-Graze_Restaurant_Kuala_lumpur-Kuala_Lumpur_Wilayah_Persekutuan.html
Nipah,5.0,289,"Southwestern, International",https://www.tripadvisor.com.my/Restaurant_Review-g298570-d1091560-Reviews-Nipah-Kuala_Lumpur_Wilayah_Persekutuan.html
