Restaurant,star_rating,no_reviews,cuisine,url
Adesso Vineria-bistrot,5.0,220,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d25107357-Reviews-Adesso_Vineria_bistrot-Rome_Lazio.html
La Fata Ignorante - Rooftop Restaurant & Bar,4.5,"6,098","Italian, Seafood",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d3598856-Reviews-La_Fata_Ignorante_Rooftop_Restaurant_Bar-Rome_Lazio.html
Ad Hoc Ristorante (Circo Massimo),5.0,385,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d24800830-Reviews-Ad_Hoc_Ristorante_Circo_Massimo-Rome_Lazio.html
Bono Bottega Nostrana - San Pietro,5.0,"1,449","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d18850657-Reviews-Bono_Bottega_Nostrana_San_Pietro-Rome_Lazio.html
Bar Palomba,4.5,219,"Italian, Cafe",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d8508268-Reviews-Bar_Palomba-Rome_Lazio.html
Bono Bottega Nostrana - Piazza di Spagna,5.0,"1,406","Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d23317756-Reviews-Bono_Bottega_Nostrana_Piazza_di_Spagna-Rome_Lazio.html
Pasta e Vino - Torre Argentina,5.0,640,"Italian, Romana",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d25381440-Reviews-Pasta_e_Vino_Torre_Argentina-Rome_Lazio.html
Pinsitaly Trevi,5.0,"1,733","Italian, Fast Food",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d17412951-Reviews-Pinsitaly_Trevi-Rome_Lazio.html
Ad Hoc Ristorante (Piazza del Popolo),4.5,"6,779","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d1381800-Reviews-Ad_Hoc_Ristorante_Piazza_del_Popolo-Rome_Lazio.html
Caligola Osteria Sincera,5.0,379,"Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d25099605-Reviews-Caligola_Osteria_Sincera-Rome_Lazio.html
Osteria Da Fortunata - Baullari,5.0,"2,225","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d24969655-Reviews-Osteria_Da_Fortunata_Baullari-Rome_Lazio.html
Arrosticinando,5.0,356,"Italian, Barbecue",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d19468079-Reviews-Arrosticinando-Rome_Lazio.html
CasaManco,5.0,537,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d11793251-Reviews-CasaManco-Rome_Lazio.html
Mi'ndujo - Tuscolana,5.0,422,"Italian, Bar",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d23653867-Reviews-Mi_ndujo_Tuscolana-Rome_Lazio.html
Bufalero,5.0,"2,253","Italian, American",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d17409780-Reviews-Bufalero-Rome_Lazio.html
Pasta e Vino - Largo Arenula,5.0,"1,320","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d24098935-Reviews-Pasta_e_Vino_Largo_Arenula-Rome_Lazio.html
Ambrosia Rooftop Restaurant & Bar,4.5,"1,870","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d3674983-Reviews-Ambrosia_Rooftop_Restaurant_Bar-Rome_Lazio.html
CiPASSO,5.0,"2,894","Italian, Mediterranean",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d14121704-Reviews-CiPASSO-Rome_Lazio.html
Sesamo Trastevere,5.0,480,"Italian, Pizza",https://www.tripadvisor.com.my/Restaurant_Review-g187791-d15182046-Reviews-Sesamo_Trastevere-Rome_Lazio.html
