Author,Title,Review,Rating,Dates,Restaurant
Tiew99,Great experience in Darkness,A memorable experience in full darkness. Marcus was a great guide. Guiding us throughout our darkness experience. In darkness we’re able to concentrate fully on our partner besides getting to experience various type of food presented for us to try. It truly makes our senses and taste bud up trying to figure out what we’re putting into our mouth. An experience worth trying. Will definitely come back in future.,5,2020-02-29,Dining In The Dark KL
aminkmo,Average Quality. Not so special. ,"The quality and dishes are average. The prices are high based on the quality. 

Services and waitress are perfect.",3,2019-03-22,Antipodean Atria
"KapiDanKuala Lumpur, Malaysia",Delectable Vegetarian Indian Food,"Being an indian in Malaysia, I grew up eating a variety of Indian food and my partner is from India and knows his lentils, curries and indian breads well. However, we like to try Oriental, Western and Mediterranean food when we go out. But on some rare occasions, we would go back to the roots and try a good Indian restaurant, although we choose our 'place-to-eat' carefully :)This past weekend we were craving Indian food. So after a bit of research we decided to try a small cafe in Bangsar called 'Ganga Cafe'. I was not expecting myself to be awed by the food but that changed the moment we tried the appetizer 'Samosa Chaat'. The sauce with yogurt was a perfect blend of sweet, sour and spicy and the crispy samosa chunks was heavenly.My partner had the Channa Bhatura and it was crispy with a tender texture with chana rightly spiced for our palate. I ordered the Parantha with Palak Paneer (Cheese Spinach) and I enjoyed every bite of my tongue tantalizing food. But the best part of our order was this amazing drink called Pranic Juice which just leaves you refreshed and awake after every sip. It is a mixture of mint, lemon and few other ingredients..Bottomline, if you like vegetarian Indian food you should definitely check this place out. It is delicious and value for money too. Enjoy the food!",5,2018-06-02,The Ganga Cafe
Leslie L,Tender Ribeye Pork Steak,"The ambience in this restaurant is very inviting, relaxed and romantic. Service is very good indeed. The ribeye pork steak was tender, succulent but unevenly salted, some parts were too salty. All in all a very nice meal.",4,2018-01-01,Ante
Jason L,Excellent Steamboat Experience,"Love the environment, love the food. We had the Imperial Canton broth. Live it so much. Will definitely come again.",5,2016-09-20,Yezi Steamboat
latestrayhan1,What a gin & tonic,I Liked the atmosphere .The food and drinks was delicious and Staff was very friendly will come back soon !!,5,2019-07-08,Mercat Barcelona Gastrobar
CalebS628KL,Good food but average service,"Firstly, the atmosphere of DC Restaurant is nice and certainly gives you an upmarket feel. We were greeted professionally by the staff and they all seemed to be fairly knowledgeable on what they offer. We had the 5 course menu and I would rank the appetizers and pre-main to be above their main course. My selection for main course was the steak. Hence comparing to other restaurants which predominantly specialize in their meat, DC would come short on that dish. Apart from that, the rest were great. However, one thing worth to mention is the attitude of one particular staff at the restaurant. We ordered a 2012 wine but when the wine arrived it was a 2014. I assumed that they brought the right wine and hence I did not particular note the year stated on the bottle. It was after a glass which I finally picked up the bottle and started looking at it closely. Only to realize they had serve me a 2014 bottle. When I questioned the staff, he said that they have ran out of the 2014. When I asked him why didn't anyone from the floor informed us, he replied me by saying sorry that they forgot to inform us. For that reason, I can't say that the restaurant is fabulous at all. Definitely not the kind of staff you want to have as he basically wiped out all the good things about the restaurant.",4,2016-12-20,DC Restaurant
Dindani99,"Best Iranian food in Malaysia 
Very very delicious specially kubide kebab,,sultani kebab",My favourite food ever..when you visit restaurants naab must try kubideh kebab and shik kebab..naab is special for kebab,5,2022-09-26,Naab
farukbkpty,good service and good food,highly recommended. detailed service and good bbq pak food. they will need to improve the mango lassi.,5,2020-01-23,BBQ NIGHTS
Sherpa21545825345,Delicious matcha dessert,"Matcha dessert on point, very delicious, good services, good environment, worker here are very friendly and kind as well as they are patience and happy!!",5,2024-03-02,OGA Tea & Dining
"DenniswonSingapore, Singapore",11am visit on 10/sep/2016 Not Worth It,"11am visit on 10/sep/2016 Not Worth ItNothing special and I think it is over price.Person cooking like foreign workers who act like robots. Ordered red snapper congee but no red snapper. Soybean drink got taste of gelatin. So,as to cut cost in order to make soybean drink thicker.The true tast and spirit of dim sum cannot be felt and taste at all. Maybe just see decortration dim sum shop.Don't waste your money there. Please see attached photo.",1,2016-09-11,"Dolly Dim Sum, NU Sentral"
mafi_slMalaysia,Good spread for a high tea,"Chose to have lunch/ high tea at the essence @ Sheraton, haven't been here in a decade! , remember it having a different name.Since it was a public holiday it was a high tea. visited with friends, family and kids. The day we went it was a superhero themed high tea, the servers were dressed as super heroes and some desserts, cup cakes, , and others had super hero themed decorations. kids loved it! The spread was good, and included sushi, assortment of breads, soup, salads, western, Indian, Malay and Chinese cuisine. The sushi didn't feel very fresh and I feel the rice was a bit under done, the rest of the food was good. Overall good outing and will visit again.",4,2015-09-27,Essence Restaurant
Shreddyz,Birthday celebration,Had an enjoyable moment with my partner with good food and a beautiful view. The staff Myna was very helpful and friendly.,5,2023-02-06,Horizon Grill
"andyhunt2Huddersfield, United Kingdom",Lovely food and great atmosphere ,We had a lovely meal at this welcoming restaurant serving delicious regional food with an excellent vibe. I enjoyed butter prawns while my wife had lemongrass chicken both were excellently cooked. We just had room for dessert and shared the banana fritter which were fab. Service was prompt and we were well attended to by our waiter Jonathan. While we eat we were entertained with traditional Chinese music. This place is definitely to be recommended. ,5,2020-03-30,Old Shanghai
"muppet911Bristol, United Kingdom",Don't understand the reviews,"I always try to search out good Italian restaurants and it is a little difficult in kl as many are not run by Italians. Opus has always had great reviews and so I thought I would try. I tried several times to just rock up without a reservation and never succeeded ( weekdays - not weekends) so I assumed it must be really good! How wrong. I went with a female friend and we again tried with no reservation and luckily they had a small table for 2 outside, which is no issue. What was an issue is the risotto I ordered, risotto is a basic Italian dish, albeit it does take a little care and attention but this was simply terrible. It was more like Nasi goreng (local fried rice). When I complained the waitress was completely indifferent and didn't show any concern whatsoever.they obviously asked if I wanted to change etc etc but that's not the point. My dining companions food was also very mediocre. And as in usual kl style the dishes arrived 10 or 15 mins apart! This really really annoys me, when you go to dinner WITH someone you want dinner WITH them, not to watch one another eat!! It appears a lot of wealthy locals eat there and I can only guess they don't know any better!",1,2015-06-28,Opus Bistro
"5N0madsLondon, United Kingdom",Needs to be properly cleaned and maintained better,"We have visited this cafe for breakfast many times. This is the second time we have been seated under an air con which drips onto the table and food!!! Unbelievable that this has not been fixed as it has been like this for months.The toilets are not clean and the floors and walls are painted a dirty grey which doesn't mask the dirt, peeling or cracked paint.However, the food and coffee are excellent. Very fresh, tasty, well presented. This is the only reason people are here. Not for the decor or very loud fan noise that permeates the restaurant from the one kitchen. The menu cards are tatty and disgusting though-in need of replacement.",2,2016-04-10,The Red Beanbag
andrew_lkm,Class A Xiao Long Pao!,"Another typical hotel type Chinese restaurant...but they really have one of the best Xiao Long Pao in KL! It's a MUST try. Another highly recommended is their crispy duck Chee Cheong Fun. Service is very attentive, especially a junior waiter Nicolas always frequent our table to check if everything is ok. Overall, food is OK but nothing spectacular. If you have a deep pocket, you can make this your regular casual Sunday brunch hot spot!",3,2014-09-21,Shanghai
"The_Traveler010710Shah Alam, Malaysia",Good Steak !,"Second time coming here after many years! We read many recent ‘not so good’ from TA but we still want to have ‘old feeling’ kind of cafe with our young children. We were served by a very friendly & helpful (couldn’t get the name). We ordered the Sirloin Steak, Ribeye, Beef Pulled Burger, Mushroom Soup, Garlic Bread, Cream Brulae, & Banana Fritters with Ice Cream. Ribeye tasted perfect, Sirloin Steak is a bit too rare, the rest just perfect. Dessert : Fried Banana Fritters & Cream Brulae was delicious, simple but . Overall, good dining experience in Coliseum Cafe. Will definitely dine here again! ",4,2019-09-11,Coliseum Cafe
Alisa A,Event celebration,Very nice ambience and the waiters are at good service. Prices for food are affordable for special occasion.,4,2017-04-10,Signature by the Hill @ The Roof
YhteohMalaysia,Hidden Foodie,"Ordered chicken (standing roasted chicken that allowed you to grab it with your hand), fried pork slices, roast duck (peipa), fried fish (talapia), clam soup (lala) & vegies (salt fish kailan). Overall for the food was good, just the vegies are a bit too salty, friendly owner with fast serve for foods & acceptable price for the meal. Avoid visit on weekend or public holiday (very crowded). Huge parking lot available just opposite the restaurant.",3,2016-09-29,Jeff Lee Kitchen
736felixc,Best Pizza,Best Pizza and foods. They serve good drink as well. Always enjoy at Quivo. Even the Music make ppl feel happy especially during happy hour. Quivo is a good place for foods/ chill and enjoy with friends.,5,2020-02-28,Quivo Pavilion
Kenny L,""" Cosy & Quiet ""","Lovely and very cosy environment with great selection of Asian curries, noodles, Japanese and Western dishes. Excellent desserts and coffee. Very reasonable pricing. Wonderful service.",4,2017-08-06,Contango
jessloylm,Tea time place,"We went to Mid Valley branch for tea time. Staffs friendly and coffee latte average ok. Tried their bread, almond croissant too sweet.",3,2016-08-27,Yeast
"helen_ngauKuala Lumpur, Malaysia","""Reunion with schoolmates after 39 years""","The decoration of the restaurant was impressive even at the entrance being 2017 is the year of roster- the golden roster was part of the decoration. The ambience was good, the selection of the food was good, the Chee Cheong fun with the crispy duck was also good and it was one of their signature dish. The Dim Sum selection was ""OK"" Their staff services was also good.",4,2017-01-17,Shanghai
Ahmed A,Favorite bar in kl,This is my favorite bar In KL specially because of the best waitress Yna he always keep me company a good servuce and always smiling. Always thanks to her specially when im back in kl for a holiday always going to this bar. Yoi should visit and it will be worth it good food and drinks,5,2022-06-20,Healy Mac's
"songllengPetaling Jaya, Malaysia",Regular visitor when craving for Jap.,"Born and bred in Subang, this place is my go-to when I crave jap. The prices are super reasonable for what you get. They have an extensive menu and include pork in their kitchen. The sashimi here is top notch for the price. BBQ skewers are pretty decent and they carry whatever is fresh from Japan. Their private rooms are amazing for catching up with friends or private business meetings.",5,2018-08-25,Kinpachi Japanese Restaurant
