Author,Title,Review,Rating,Dates,Restaurant
Jamie R,Great Roman Pizza!,"Delicious takeaway pizza. Walk up, point to what you want, and show them how much you want with your hands. It’s hectic, but totally worth it. Grab more than once kind to try, and take it outside. Fantastic.",5,2022-06-30,Forno Campo de' Fiori
GCR_11,Excellent meal and service,"Recommendation to visit, friendly service and excellent food, had the traditional Italian plate to share and two pasta dishes for mains pictures below.",4,2023-08-25,"Ristorante Luigi, Cantina E Cucina"
1Elisa19,Pizza!,"Walking around in Trastevere, we found this hidden gem. Delicious pizza by the slice. You can eat the pizza at the few small tables outside or just take away. Must visit!",5,2017-07-28,Pizzeria La Boccaccia
_S8515GS,Best place for eat meet,"Very surprised of  the place ! Meat here is so delicious! And also very good service:) I recommend everybody this place for dinner, and of course thanks a lot to Andrea!",5,2022-05-07,Bufalero
Mary C,"A Roman institution, still going strong. Grab a table!","We had dinner visited here two nights ago for a family dinner. We had previously visited seven years ago. Still an excellent restaurant, although much more quiet with the post Covid landscape. We shared stuffed zucchini flowers as an antipasto and another courgette pasta as a main course.Both were absolutely excellent.We also enjoyed a great tiramisu, the second best of our time in Italy!.2 excellent glasses of wine at €6 each and the whole thing came in at under €35.Renato e Louisa is a Roman institution. It deserves to be full every night. Well done team!",5,2021-09-02,Renato e Luisa
stiliyanv2016,My favorite cafe in Rome,"Super delicious cappuccino and croissants, people were amazing. The best cafe bar we visited in Rome.",5,2018-08-22,Bar San Marcello
Murat K,Excellent late lunch very near to Piazza di Spagna,"We ate Rosebeef, lasagna with porcini mushrooms and ceasar salad and also had white wine with fruit flavor. All were excellent and we paid 86 euros for four people. It certainly worths the price so I highly recommend the place.",5,2023-11-14,Cantina Belsiana
Manuela L,Vero / Rome,"It's a friendly place, that does delicious little menus, very good italian food, amazing choice of artisanal drinks, enjoy it.",5,2020-01-27,Vero Food - Ludovisi
MilosN90,Italian one!,"Pizza was rich of ingredients and the dough was perfect - real Italian.
I will certainly visit this place again!",5,2017-07-25,Io e Valter Pizzeria Le Torri
"kathrynlvanceNew Albany, Indiana",Already dreaming about going back!,This was one of those viral hits that I knew I needed to try and the wait (about an hour at prime dinner time) was so worth it. We had the yellow margarita pizza and the regular margarita pizza and both were spectacular! So much flavor and the crust was so perfectly cooked. Highly recommend!,5,2023-10-31,Piccolo Buco
Dylan J,Average experience — Misled by high reviews,"We were excited to go here based on such high reviews, but our experience was average.Food wise, we thought it was good, but not special. The ravioli was particularly off, with a floury tasting filling, and a Cacio e Pepe sauce missing most of the Pepe. Both entrees were fresh, though fairly one note, bread a bit stale, and pistachio cake desert too sweet for our taste.Service was fine, our waitress in particular was attentive, but the boss was unaccommodating . We made an early reservation hoping to sit on the roof terrace, but were seated at a table right next to the kitchen door instead. When we asked to be seated outside, the boss replied that the terrace was full, even though we saw empty tables. If you do want rooftop seating, be sure to make that very clear in your reservation.Also, after reviewing some of the reviews before writing mine I was surprised to see the restaurant replying to some of the more critical ones in quite hostile language saying they were wrong, and being quite defensive. That does not speak well imo, and matched the vibes I was getting throughout.",3,2022-06-20,VII Coorte
Pioneer09408607079,A hidden gem in the Eternal City,The owners and staff were extremely welcoming and the food was absolutely incredible! The next time we’re in Rome we’ll definitely return!,5,2021-11-26,Ristorante Tema
SuperJ08,Great Value Good Food,"Came here as a result of Trip Advisor ranking. Friendly, family run, small so get in early. Delighted with food and service and price. Not top end dining, but good range and well cooked. Bellissimo.",5,2018-04-07,Porta Castello
TeneilHanna,Dinner ,"Francesca was a wonderful waitress, would definitely come again. Wonderful service and food. All staff were very friendly and lots of food options. Easy for english speakers.",5,2023-07-01,Pasta e Vino - Largo Arenula
LizbetLondonLondon,The place was full with loads of people waiting so we were excited.,"It was hard to get a booking and the reviews are outstanding. Sadly, and there were a good number of us, general consensus was that it was all a bit insipid. We tried just about everything on the menu. The dumplings with beef and pepper were really good but the rest was just average. The chairs are packed really close together and the noise level is considerable. A bit of a let down really.",3,2019-02-04,Dumpling Bar
"GrzesiekS17Wroclaw, Poland",OVERRATED,"The biggest disappointment of the trip to Rome. An overrated place serving very average sandwiches, nothing special compared to what we ate many times in Italy. The service was nice, I don't know if the service was added, but the price we paid was different from the price we ordered. We didn't receive the receipt.",2,2024-01-20,Bono Bottega Nostrana - San Pietro
Adriano L,I Reccomend ,Very nice place and welcoming staff. The food was excellent and the portions were generous. All for a reasonable price.,4,2023-12-08,Enoteca Trastevere
erika fmaine,amazing place,"wow wow wow. if u want a great experience with high quality food and top service please choose I Sofa rooftop in Rome. i cant say enough what a great time we had, the service was awesome the food was awesome the life entertainment was awesome. i should give them more than 5 stars. if im back in Rome im back to I Sofa restaurant. dont listen to negative reviews and go experience for yourself",5,2019-09-20,I Sofa Bar Restaurant
hudson2680Leeds,great Roman experience!,"I recently visited this restaurant and thought it wa great, it had a real Italian feeling, full of italian families. The decor set the mood and food and wine was all high quality and very tasty and the staff were all very helpful and friendly. I will deff be visiting again!",4,2009-05-09,La Fraschetta di Mastro Giorgio
"carlof0312Vicenza, Italy",Real roman food,"We have been there for the first time by chance having read the reviews on Trip Advisor and I must say they are right on! Very nice and typical Roman place, a real osteria. Food is simply great. All the classical dishes are present (carbonara, cacio e pepe, saltimbocca alla romana, etc.); we tried three different ones and I can’t tell the best, honestly all of them perfect. Wine in a nice fiasco and .... just enjoy ",4,2018-09-17,Osteria29
Tille2016,Trattoria il fantino,Tratoria Il fantino is a typical roman restaurant (cucina tipica romana)  with excellent food and attractive location,5,2023-04-26,Il Fantino
